Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"M4 brass inserts","To secure the m4 screws",1,5.74,"https://s.daraz.com.np/s.ZXQCL","Daraz Nepal"
"Solder wire","To solder stuff",1,1.98,"https://s.daraz.com.np/s.ZX67W","Daraz Nepal"
"Printing Legion Shipping","To ship printed parts",1,17.00,"https://printlegion.hackclub.com/","Hack Club"
"Metal Servo Horns","To connect servo with the linkages",1,9.41,"https://www.daraz.com.np/products/995-996-5-sales-promotion-25-i348985638-s1538363829.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253Ametal%252Bservo%252Bhorns%253Bnid%253A348985638%253Bsrc%253ALazadaMainSrp%253Brn%253A7ac1a80c29afc3083b9e63b25c6822b7%253Bregion%253Anp%253Bsku%253A348985638_NP%253Bprice%253A1399%253Bclient%253Adesktop%253Bsupplier_id%253A900270032057%253Bsession_id%253A%253Bbiz_source%253Ah5_external%253Bslot%253A1%253Butlog_bucket_id%253A470687%253Basc_category_id%253A9271%253Bitem_id%253A348985638%253Bsku_id%253A1538363829%253Bshop_id%253A183894%253BtemplateInfo%253A&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Overseas&price=1399&priceCompare=skuId%3A1538363829%3Bsource%3Alazada-search-voucher%3Bsn%3A7ac1a80c29afc3083b9e63b25c6822b7%3BoriginPrice%3A139900%3BdisplayPrice%3A139900%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1776493244308&ratingscore=&request_id=7ac1a80c29afc3083b9e63b25c6822b7&review=&sale=0&search=1&source=search&spm=a2a0e.searchlist.list.1&stock=1","Daraz Nepal"
"Helping Hands with magnifier lens","To help with soldering 0201 smd components",1,11.42,"https://www.daraz.com.np/products/helping-hand-magnifier-led-light-with-soldering-stand-i512016132-s2295616877.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253Ahelping%252Bhands%253Bnid%253A512016132%253Bsrc%253ALazadaMainSrp%253Brn%253A2afd0116c92d1d483b14ddcd5a722268%253Bregion%253Anp%253Bsku%253A512016132_NP%253Bprice%253A1699%253Bclient%253Adesktop%253Bsupplier_id%253A900153450038%253Bsession_id%253A%253Bbiz_source%253Ah5_external%253Bslot%253A27%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10000492%253Bitem_id%253A512016132%253Bsku_id%253A2295616877%253Bshop_id%253A63095%253BtemplateInfo%253A&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Bagmati%20Province&price=1699&priceCompare=skuId%3A2295616877%3Bsource%3Alazada-search-voucher%3Bsn%3A2afd0116c92d1d483b14ddcd5a722268%3BoriginPrice%3A169900%3BdisplayPrice%3A169900%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1776492775197&ratingscore=&request_id=2afd0116c92d1d483b14ddcd5a722268&review=&sale=0&search=1&source=search&spm=a2a0e.searchlist.list.27&stock=1","Daraz Nepal"
"Multimeter","To check for any short-circuits",1,2.25,"https://www.daraz.com.np/products/digital-multimeter-lcd-ac-dc-measuring-voltage-current-for-home-use-campus-component-voltage-ampere-ohm-tester-electronic-tester-yellow-i154380149-s1112904706.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253Amultimeter%253Bnid%253A154380149%253Bsrc%253ALazadaMainSrp%253Brn%253A8dad23be6ab4864be9410b0ed15c740c%253Bregion%253Anp%253Bsku%253A154380149_NP%253Bprice%253A339%253Bclient%253Adesktop%253Bsupplier_id%253A900181728047%253Bsession_id%253A%253Bbiz_source%253Ah5_external%253Bslot%253A0%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10001273%253Bitem_id%253A154380149%253Bsku_id%253A1112904706%253Bshop_id%253A110239%253BtemplateInfo%253A&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Madhesh%20Province&price=339&priceCompare=skuId%3A1112904706%3Bsource%3Alazada-search-voucher%3Bsn%3A8dad23be6ab4864be9410b0ed15c740c%3BoriginPrice%3A33900%3BdisplayPrice%3A33900%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1777304153197&ratingscore=4.645161290322581&request_id=8dad23be6ab4864be9410b0ed15c740c&review=62&sale=294&search=1&source=search&spm=a2a0e.searchlist.list.0&stock=1","Daraz Nepal"
"0201 Resistors","Used in circuit",1,4.73,"https://www.daraz.com.np/products/660pcs-0201-0402-0603-0805-1206-1-smd-resistor-assorted-kit-33values-each-20pcs-1r-1m-10k-100k-1k-100r-resistance-set-i1514325507-s12309693737.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253A0201%252B10k%252Bsmd%252Bresistor%253Bnid%253A1514325507%253Bsrc%253ALazadaMainSrp%253Brn%253A0e61a9c173623fe6c979eb3c7e5aa68a%253Bregion%253Anp%253Bsku%253A1514325507_NP%253Bprice%253A703%253Bclient%253Adesktop%253Bsupplier_id%253A900279168309%253Bsession_id%253A%253Bbiz_source%253Ah5_external%253Bslot%253A11%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10001575%253Bitem_id%253A1514325507%253Bsku_id%253A12309693737%253Bshop_id%253A198893%253BtemplateInfo%253A&configId=choice_NP_promotion&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Overseas&price=703&priceCompare=skuId%3A12309693737%3Bsource%3Alazada-search-voucher%3Bsn%3A0e61a9c173623fe6c979eb3c7e5aa68a%3BoriginPrice%3A70300%3BdisplayPrice%3A70300%3BsinglePromotionId%3A420000000001000%3BsingleToolCode%3AshopPromPrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1776490881182&ratingscore=&request_id=0e61a9c173623fe6c979eb3c7e5aa68a&review=&sale=222&search=1&source=search&spm=a211g0.searchlist.list.11&stock=1&upItemIds=1514325507","Daraz Nepal"
"Devboard PCB","The brains and the body of the quadruped",1,106.66,"https://jlcpcb.com/","JLCPCB"
"ST-Link V2","For debugging purposes",1,4.12,"https://www.daraz.com.np/products/1set-st-link-stlink-st-link-v2-mini-stm8-stm32-simulator-download-programmer-programming-with-cover-dupont-cable-st-link-v2-i492436195-s2210951742.html?c=&channelLpJumpArgs=&clickTrackInfo=query%253Astlink%252Bv2%253Bnid%253A492436195%253Bsrc%253ALazadaMainSrp%253Brn%253A9e26ccdd059d1e6e370de6ccbddaf36e%253Bregion%253Anp%253Bsku%253A492436195_NP%253Bprice%253A621%253Bclient%253Adesktop%253Bsupplier_id%253A900279168309%253Bsession_id%253A%253Bbiz_source%253Ahttps%253A%252F%252Fwww.daraz.com.np%252F%253Bslot%253A1%253Butlog_bucket_id%253A470687%253Basc_category_id%253A10000489%253Bitem_id%253A492436195%253Bsku_id%253A2210951742%253Bshop_id%253A198893%253BtemplateInfo%253A&configId=choice_NP_promotion&freeshipping=0&fs_ab=1&fuse_fs=&lang=en&location=Overseas&price=621&priceCompare=skuId%3A2210951742%3Bsource%3Alazada-search-voucher%3Bsn%3A9e26ccdd059d1e6e370de6ccbddaf36e%3BoriginPrice%3A62100%3BdisplayPrice%3A62100%3BsinglePromotionId%3A-1%3BsingleToolCode%3AmockedSalePrice%3BvoucherPricePlugin%3A0%3Btimestamp%3A1777303958079&ratingscore=&request_id=9e26ccdd059d1e6e370de6ccbddaf36e&review=&sale=463&search=1&source=search&spm=a211g0.searchlist.list.1&stock=1&upItemIds=492436195","Daraz Nepal"
"Male Header Pins","For servos and aux ports",1,0.57,"https://www.daraz.com.np/male-and-female-header-5pcs-i125721003-s1034084394.html","Daraz Nepal"
