Designator,Mid X,Mid Y,Rotation,Layer
0,127.4,-112.5,0.0,top
1,130.25,-112.5,0.0,top
10,140.075,-74.345,180.0,top
11,142.825,-74.345,180.0,top
2,133.0,-112.5,0.0,top
3,127.45,-74.325,180.0,top
4,130.225,-74.325,180.0,top
5,133.05,-74.325,180.0,top
6,137.2,-112.5,0.0,top
7,139.95,-112.5,0.0,top
8,142.7,-112.5,0.0,top
9,137.225,-74.345,180.0,top
C1,147.55,-100.15,180.0,top
C10,181.1,-104.975,270.0,top
C11,138.15,-91.175,0.0,top
C12,173.15,-101.025,180.0,top
C13,179.1,-103.025,90.0,top
C14,135.102651,-86.25,180.0,top
C15,149.575,-103.75,90.0,top
C16,154.45,-106.0,180.0,top
C17,161.8,-90.1,270.0,top
C18,149.525,-86.7,0.0,top
C19,168.05,-90.25,180.0,top
C2,145.275,-98.625,270.0,top
C20,168.05,-91.725,180.0,top
C21,170.5,-94.15,90.0,top
C22,172.375,-90.7,270.0,top
C23,168.075,-86.85,180.0,top
C3,162.575,-96.75,0.0,top
C4,147.45,-88.625,180.0,top
C5,159.1,-87.225,90.0,top
C6,143.775,-98.625,270.0,top
C7,157.825,-103.175,270.0,top
C8,156.3,-103.175,270.0,top
C9,160.3,-102.475,180.0,top
D1,147.35,-103.25,90.0,top
D2,167.95,-106.425,0.0,top
D3,168.85,-85.11,270.0,top
D4,175.775,-95.875,0.0,top
D5,175.775,-92.675,0.0,top
FB1,160.275,-104.0,0.0,top
J1,121.025,-100.31,180.0,top
J13,121.05,-87.21,0.0,top
J2,158.41,-115.05,270.0,top
J3,150.71,-78.8,90.0,top
J4,184.8,-85.0,90.0,top
J5,162.24,-71.85,270.0,top
R1,175.85,-111.85,180.0,top
R10,180.85,-97.57,0.0,top
R11,180.85,-100.54,0.0,top
R12,141.2575,-95.55,270.0,top
R13,135.8825,-91.98,90.0,top
R14,134.8075,-92.025,90.0,top
R15,133.3825,-92.675,180.0,top
R16,133.1075,-93.7,180.0,top
R17,132.45,-95.225,180.0,top
R18,141.1,-93.225,0.0,top
R2,167.925,-105.2,0.0,top
R3,167.875,-84.985,270.0,top
R9,148.7,-101.81,0.0,top
SW1,184.625,-107.5,180.0,top
SW2,176.575,-115.425,0.0,top
U1,154.1,-94.125,0.0,top
U2,173.575,-105.5625,0.0,top
U3,137.0875,-96.525,90.0,top
U4,174.875,-85.6,180.0,top
U5,168.025,-94.4125,90.0,top
USB1,185.4175,-99.3,90.0,top
Y1,152.525,-103.51,0.0,top
