Designator,Mid X,Mid Y,Rotation,Layer
0,127.4,-112.5,0.0,top
1,130.25,-112.5,0.0,top
10,140.075,-74.345,180.0,top
11,142.825,-74.345,180.0,top
2,133.0,-112.5,0.0,top
3,127.45,-74.325,180.0,top
4,130.225,-74.325,180.0,top
5,133.05,-74.325,180.0,top
6,137.2,-112.5,0.0,top
7,139.95,-112.5,0.0,top
8,142.7,-112.5,0.0,top
9,137.225,-74.345,180.0,top
C1,151.275,-97.15,180.0,bottom
C10,181.225,-105.025,270.0,bottom
C11,138.15,-91.175,180.0,bottom
C12,173.575,-104.425,0.0,bottom
C13,173.575,-106.635,0.0,bottom
C14,135.102651,-86.25,180.0,top
C15,151.275,-103.51,90.0,bottom
C16,153.675,-103.525,270.0,bottom
C17,161.8,-90.1,270.0,top
C18,149.525,-86.7,0.0,top
C19,168.05,-90.25,0.0,bottom
C2,145.6,-99.0,270.0,bottom
C20,168.05,-91.725,0.0,bottom
C21,170.5,-94.15,90.0,bottom
C22,174.025,-85.5625,90.0,bottom
C23,175.6,-85.5875,90.0,bottom
C3,157.975,-96.15,90.0,bottom
C4,147.45,-88.625,0.0,bottom
C5,159.1,-88.375,90.0,bottom
C6,144.1,-99.0,270.0,bottom
C7,157.825,-103.175,270.0,bottom
C8,156.3,-103.175,270.0,bottom
C9,160.3,-103.935,0.0,bottom
D1,147.25,-103.12,90.0,top
D2,167.95,-106.425,0.0,top
D3,168.85,-85.11,270.0,top
D4,175.775,-95.875,0.0,top
D5,175.775,-92.675,0.0,top
FB1,160.325,-102.41,180.0,bottom
J1,121.025,-100.31,180.0,top
J13,121.05,-87.21,0.0,top
J2,158.41,-115.05,270.0,top
J3,150.71,-78.8,90.0,top
J4,184.8,-85.025,90.0,bottom
J5,162.24,-71.85,270.0,top
R1,175.85,-111.85,180.0,top
R10,180.85,-97.57,0.0,top
R11,180.85,-100.54,0.0,top
R12,141.2575,-94.905,90.0,bottom
R13,135.8825,-91.98,90.0,bottom
R14,134.8075,-92.025,90.0,bottom
R15,133.3825,-92.675,0.0,bottom
R16,133.1075,-93.7,0.0,bottom
R17,132.7825,-95.55,270.0,bottom
R18,140.2525,-93.375,180.0,bottom
R2,167.925,-105.2,0.0,top
R3,167.875,-84.985,270.0,top
R9,148.7,-101.81,0.0,top
SW1,184.625,-107.5,180.0,top
SW2,176.575,-115.425,0.0,top
U1,154.1,-94.125,0.0,top
U2,173.575,-105.5625,0.0,top
U3,137.0875,-96.525,90.0,top
U4,174.875,-85.6,180.0,top
U5,168.025,-94.4125,90.0,top
USB1,185.4175,-99.3,90.0,top
Y1,152.525,-103.51,0.0,top
